"","Order","Family","Species_ph","BM","BR","Diet","WA","LS","AspectRatio","Synurbic","UrbanStatus"
"1","Chiroptera","Hipposideridae","Hipposideros_ater",5.785,0.20675,0,79.2,1,5.5,0,"neither"
"2","Chiroptera","Hipposideridae","Hipposideros_caffer",9.448095,0.31225,0,73.48,1,6.3,0,"neither"
"3","Chiroptera","Hipposideridae","Hipposideros_commersoni",99.09091,0.75,0,151.03,1,7.7,0,"neither"
"4","Chiroptera","Hipposideridae","Hipposideros_speoris",10.42857,0.284,0,48.38,1,6.5,0,"neither"
"5","Chiroptera","Megadermatidae","Lavia_frons",23.93333,0.644,0,53.48,1,5.4,0,"neither"
"6","Chiroptera","Phyllostomidae","Leptonycteris_curasoae",23.41879,0.58,1.05492,41.99,1,5.9,0,"neither"
"7","Chiroptera","Phyllostomidae","Macrotus_californicus",11.625,0.39,0.6931472,35.51,1,5.6,0,"neither"
"8","Chiroptera","Megadermatidae","Megaderma_lyra",45.53545,0.8935,1.279854,44.58,1,6.2,0,"neither"
"9","Chiroptera","Megadermatidae","Megaderma_spasma",25.375,0.644,1.279854,31.5,1.41,5,0,"neither"
"10","Chiroptera","Phyllostomidae","Mimon_crenulatum",13.75,0.333,0.6931472,273.96,1,8.3,0,"neither"
"11","Chiroptera","Vespertilionidae","Myotis_daubentonii",7.63,0.23,0,35.33,1.21,6.3,0,"neither"
"12","Chiroptera","Vespertilionidae","Myotis_myotis",24.78667,0.48,0,41.99,1.5,6.3,0,"neither"
"13","Chiroptera","Vespertilionidae","Myotis_nattereri",7.137778,0.22,0,60.41,1,6.4,0,"neither"
"14","Chiroptera","Vespertilionidae","Myotis_adversus",10.5525,0.254,0,56.28,1,6.7,0,"neither"
"15","Chiroptera","Vespertilionidae","Myotis_albescens",5.3,0.126,0,30.2,1,6.9,0,"neither"
"16","Chiroptera","Vespertilionidae","Myotis_lucifugus",7.648298,0.172,0,26,1,6,0,"neither"
"17","Chiroptera","Vespertilionidae","Myotis_nigricans",4.24,0.133,0,38,1,6.5,0,"neither"
"18","Chiroptera","Vespertilionidae","Myotis_tricolor",13.94286,0.259,0,41.88,1,6.2,0,"neither"
"19","Chiroptera","Vespertilionidae","Myotis_velifer",10.09563,0.2,0,43,1,6.2,0,"neither"
"20","Chiroptera","Noctilionidae","Noctilio_albiventris",30.84796,0.5735,0.5004024,77.56,1,7.8,0,"neither"
"21","Chiroptera","Noctilionidae","Noctilio_leporinus",58.32167,1.2215,0.6931472,84.44,1,9,0,"neither"
"22","Chiroptera","Vespertilionidae","Nyctalus_noctula",28,0.36,0,47.89,1.33,7.4,1,"dweller"
"23","Chiroptera","Nycteridae","Nycteris_arge",11.95,0.3535,0.6390319,58.26,1,4.8,0,"neither"
"24","Chiroptera","Nycteridae","Nycteris_grandis",30.15714,0.709,1.279854,52.5,1,5.2,0,"neither"
"25","Chiroptera","Nycteridae","Nycteris_macrotis",14.45857,0.388,0.6390319,60.41,1,5.2,0,"neither"
"26","Chiroptera","Nycteridae","Nycteris_thebaica",9.810741,0.323,0.6390319,60.83,1,5.5,1,"dweller"
"27","Chiroptera","Phyllostomidae","Phyllostomus_hastatus",87.21245,1.4585,0.9433484,72.82,1,7.6,0,"neither"
"28","Chiroptera","Vespertilionidae","Pipistrellus_kuhlii",5.934977,0.166,0,60.41,1.21,6.3,1,"dweller"
"29","Chiroptera","Vespertilionidae","Pipistrellus_subflavus",5.764286,0.125,0,31.21,1.96,6.2,0,"neither"
"30","Chiroptera","Vespertilionidae","Pipistrellus_tenuis",4.7,0.1035,0,44.8,1.92,6.5,1,"dweller"
"31","Chiroptera","Mormoopidae","Pteronotus_parnellii",19.67095,0.543,0,76.1,1,8.1,0,"neither"
"32","Chiroptera","Rhinolophidae","Rhinolophus_capensis",12.8,0.256,0,60.41,1,5.6,0,"neither"
"33","Chiroptera","Rhinolophidae","Rhinolophus_landeri",8.86,0.277,0,60.41,1,6.1,0,"neither"
"34","Chiroptera","Rhinopomatidae","Rhinopoma_microphyllum",27.86875,0.387,0,31.3,1,8,0,"neither"
"35","Chiroptera","Emballonuridae","Rhynchonycteris_naso",3.831111,0.114,0,70.86,1,6.5,0,"neither"
"36","Chiroptera","Emballonuridae","Saccopteryx_bilineata",7.795588,0.224,0,59.99,1,6.1,0,"neither"
"37","Chiroptera","Phyllostomidae","Sturnira_lilium",19.09958,0.569,0,87.5,1,6.5,1,"dweller"
"38","Chiroptera","Molossidae","Tadarida_aegyptiaca",16.78158,0.393,0,60.41,1,9.7,1,"dweller"
"39","Chiroptera","Phyllostomidae","Artibeus_jamaicensis",42.17279,1.016,0.6390319,15,1,6.4,0,"neither"
"40","Chiroptera","Phyllostomidae","Artibeus_lituratus",60.53549,1.1415,0.6390319,15,1,6.1,1,"dweller"
"41","Chiroptera","Emballonuridae","Taphozous_longimanus",26.92,0.47,0,22.13,1,9.8,0,"neither"
"42","Chiroptera","Emballonuridae","Taphozous_melanopogon",25.94048,0.536,0,46.67,1,10,1,"dweller"
"43","Chiroptera","Hipposideridae","Asellia_tridens",11.92857,0.24,0,80.88,1,6.9,0,"neither"
"44","Chiroptera","Vespertilionidae","Tylonycteris_pachypus",3.58,0.08,0,58.46,1.92,8.3,0,"neither"
"45","Chiroptera","Phyllostomidae","Uroderma_bilobatum",16.68593,0.571,0.6390319,40.58,1,6.3,0,"neither"
"46","Chiroptera","Phyllostomidae","Brachyphylla_cavernarum",46.16667,1.196,0.940448,73.44,1,6.36,0,"neither"
"47","Chiroptera","Megadermatidae","Cardioderma_cor",27.84286,0.67,0,55.8,1,5.2,0,"neither"
"48","Chiroptera","Vespertilionidae","Neoromicia_nanus",3.88,0.1,0,40,1.7,7.3,1,"dweller"
"49","Chiroptera","Phyllostomidae","Chrotopterus_auritus",77.8625,1.74,1.366159,273.96,1,5.46,0,"neither"
"50","Chiroptera","Vespertilionidae","Eptesicus_serotinus",22.85833,0.3185,0,30.8,1.5,6.5,1,"dweller"
"51","Chiroptera","Vespertilionidae","Eptesicus_fuscus",16.46048,0.24,0,34.18,1.85,6.4,1,"dweller"
"52","Chiroptera","Phyllostomidae","Glossophaga_longirostris",11.92214,0.435,1.0889,46.65,1,6.44,0,"neither"
"53","Chiroptera","Vespertilionidae","Lasiurus_borealis",10.7375,0.17,0,38,3.12,6.7,1,"visitor"
"54","Chiroptera","Vespertilionidae","Pipistrellus_ceylonicus",8.3875,0.182,0,27.5,1.98,7.9,1,"visitor"
"55","Chiroptera","Rhinolophidae","Rhinolophus_ferrumequinum",21.06071,0.35,0,45.87,1,6.1,1,"visitor"
"56","Chiroptera","Rhinolophidae","Rhinolophus_hipposideros",4.709231,0.195,0,33.2,1,5.7,1,"visitor"
"57","Chiroptera","Vespertilionidae","Scotophilus_heathii",36.13,0.476,0,19.17,1.92,7.5,1,"visitor"
"58","Chiroptera","Vespertilionidae","Vespertilio_murinus",18.7,0.445,0,94.29,1.5,7,1,"visitor"
